time	I(D1)
7.218401931301248e-06	-1.250100e-07
7.237933181301248e-06	-1.250100e-07
7.257464431301248e-06	-1.250100e-07
7.276995681301248e-06	-1.250100e-07
7.296526931301248e-06	-1.250100e-07
7.316058181301248e-06	-1.250100e-07
7.335589431301248e-06	-1.250100e-07
7.355120681301248e-06	-1.250100e-07
7.374651931301248e-06	-1.250100e-07
7.394183181301248e-06	-1.250100e-07
7.413714431301248e-06	-1.250100e-07
7.433245681301248e-06	-1.250100e-07
7.452776931301248e-06	-1.250100e-07
7.472308181301248e-06	-1.250100e-07
7.491839431301249e-06	-1.250100e-07
7.511370681301249e-06	-1.250100e-07
7.530901931301249e-06	-1.250100e-07
7.550433181301249e-06	-1.250100e-07
7.569964431301249e-06	-1.250100e-07
7.589495681301249e-06	-1.250100e-07
7.609026931301249e-06	-1.250100e-07
7.628558181301249e-06	-1.250100e-07
7.648089431301249e-06	-1.250100e-07
7.667620681301248e-06	-1.250100e-07
7.687151931301247e-06	-1.250100e-07
7.706683181301247e-06	-1.250100e-07
7.726214431301246e-06	-1.250100e-07
7.745745681301245e-06	-1.250100e-07
7.765276931301244e-06	-1.250100e-07
7.784808181301243e-06	-1.250100e-07
7.804339431301243e-06	-1.250100e-07
7.823870681301242e-06	-1.250100e-07
7.843401931301241e-06	-1.250100e-07
7.862933181301240e-06	-1.250100e-07
7.882464431301239e-06	-1.250100e-07
7.901995681301239e-06	-1.250100e-07
7.921526931301238e-06	-1.250100e-07
7.941058181301237e-06	-1.250100e-07
7.960589431301236e-06	-1.250100e-07
7.980120681301235e-06	-1.250100e-07
7.999651931301235e-06	-1.250100e-07
8.019183181301234e-06	-1.250100e-07
8.038714431301233e-06	-1.250100e-07
8.058245681301232e-06	-1.250100e-07
8.077776931301231e-06	-1.250100e-07
8.097308181301231e-06	-1.250100e-07
8.116839431301230e-06	-1.250100e-07
8.136370681301229e-06	-1.250100e-07
8.155901931301228e-06	-1.250100e-07
8.175433181301227e-06	-1.250100e-07
8.194964431301227e-06	-1.250100e-07
8.214495681301226e-06	-1.250100e-07
8.234026931301225e-06	-1.250100e-07
8.253558181301224e-06	-1.250100e-07
8.273089431301223e-06	-1.250100e-07
8.292620681301223e-06	-1.250100e-07
8.312151931301222e-06	-1.250100e-07
8.331683181301221e-06	-1.250100e-07
8.351214431301220e-06	-1.250100e-07
8.370745681301219e-06	-1.250100e-07
8.390276931301219e-06	-1.250100e-07
8.409808181301218e-06	-1.250100e-07
8.429339431301217e-06	-1.250100e-07
8.448870681301216e-06	-1.250100e-07
8.468401931301216e-06	-1.250100e-07
8.487933181301215e-06	-1.250100e-07
8.507464431301214e-06	-1.250100e-07
8.526995681301213e-06	-1.250100e-07
8.546526931301212e-06	-1.250100e-07
8.566058181301212e-06	-1.250100e-07
8.585589431301211e-06	-1.250100e-07
8.605120681301210e-06	-1.250100e-07
8.624651931301209e-06	-1.250100e-07
8.644183181301208e-06	-1.250100e-07
8.663714431301208e-06	-1.250100e-07
8.683245681301207e-06	-1.250100e-07
8.702776931301206e-06	-1.250100e-07
8.722308181301205e-06	-1.250100e-07
8.741839431301204e-06	-1.250100e-07
8.761370681301204e-06	-1.250100e-07
8.780901931301203e-06	-1.250100e-07
8.800433181301202e-06	-1.250100e-07
8.819964431301201e-06	-1.250100e-07
8.839495681301200e-06	-1.250100e-07
8.859026931301200e-06	-1.250100e-07
8.878558181301199e-06	-1.250100e-07
8.898089431301198e-06	-1.250100e-07
8.917620681301197e-06	-1.250100e-07
8.937151931301196e-06	-1.250100e-07
8.956683181301196e-06	-1.250100e-07
8.976214431301195e-06	-1.250100e-07
8.995745681301194e-06	-1.250100e-07
9.015276931301193e-06	-1.250100e-07
9.034808181301192e-06	-1.250100e-07
9.054339431301192e-06	-1.250100e-07
9.073870681301191e-06	-1.250100e-07
9.093401931301190e-06	-1.250100e-07
9.112933181301189e-06	-1.250100e-07
9.132464431301188e-06	-1.250100e-07
9.151995681301188e-06	-1.250100e-07
9.171526931301187e-06	-1.250100e-07
9.191058181301186e-06	-1.250100e-07
9.210589431301185e-06	-1.250100e-07
9.230120681301184e-06	-1.250100e-07
9.249651931301184e-06	-1.250100e-07
9.269183181301183e-06	-1.250100e-07
9.288714431301182e-06	-1.250100e-07
9.308245681301181e-06	-1.250100e-07
9.327776931301180e-06	-1.250100e-07
9.347308181301180e-06	-1.250100e-07
9.366839431301179e-06	-1.250100e-07
9.386370681301178e-06	-1.250100e-07
9.405901931301177e-06	-1.250100e-07
9.425433181301177e-06	-1.250100e-07
9.444964431301176e-06	-1.250100e-07
9.464495681301175e-06	-1.250100e-07
9.484026931301174e-06	-1.250100e-07
9.503558181301173e-06	-1.250100e-07
9.523089431301173e-06	-1.250100e-07
9.542620681301172e-06	-1.250100e-07
9.562151931301171e-06	-1.250100e-07
9.581683181301170e-06	-1.250100e-07
9.601214431301169e-06	-1.250100e-07
9.620745681301169e-06	-1.250100e-07
9.640276931301168e-06	-1.250100e-07
9.659808181301167e-06	-1.250100e-07
9.679339431301166e-06	-1.250100e-07
9.698870681301165e-06	-1.250100e-07
9.718401931301165e-06	-1.250100e-07
9.737933181301164e-06	-1.250100e-07
9.757464431301163e-06	-1.250100e-07
9.776995681301162e-06	-1.250100e-07
9.796526931301161e-06	-1.250100e-07
9.816058181301161e-06	-1.250100e-07
9.835589431301160e-06	-1.250100e-07
9.855120681301159e-06	-1.250100e-07
9.874651931301158e-06	-1.250100e-07
9.894183181301157e-06	-1.250100e-07
9.913714431301157e-06	-1.250100e-07
9.933245681301156e-06	-1.250100e-07
9.952776931301155e-06	-1.250100e-07
9.972308181301154e-06	-1.250100e-07
9.991839431301153e-06	-1.250100e-07
9.999999999999999e-06	-1.250100e-07
1.000100000000000e-05	1.897022e-02
1.000489715797614e-05	1.310363e-02
1.000525393459523e-05	1.279643e-02
1.000596748783341e-05	1.208370e-02
1.000739459430977e-05	1.096616e-02
1.000775137092886e-05	1.074011e-02
1.000846492416704e-05	1.031253e-02
1.000864331247659e-05	1.020547e-02
1.000900008909568e-05	1.002450e-02
1.000971364233386e-05	9.860585e-03
1.001114074881022e-05	9.864447e-03
1.001379452272722e-05	9.765075e-03
1.001910207056121e-05	9.776534e-03
1.002971716622920e-05	9.677372e-03
1.004924841622920e-05	9.624922e-03
1.006877966622920e-05	9.632941e-03
1.008831091622920e-05	1.007164e-02
1.010784216622919e-05	9.777527e-03
1.012737341622919e-05	9.683455e-03
1.014690466622919e-05	9.612041e-03
1.016643591622919e-05	9.581270e-03
1.018596716622919e-05	9.563091e-03
1.020549841622919e-05	9.551304e-03
1.022502966622919e-05	9.542655e-03
1.024456091622919e-05	9.535856e-03
1.026409216622919e-05	9.530245e-03
1.028362341622919e-05	9.525458e-03
1.030315466622919e-05	9.521271e-03
1.032268591622919e-05	9.517542e-03
1.034221716622918e-05	9.514172e-03
1.036174841622918e-05	9.511093e-03
1.038127966622918e-05	9.508256e-03
1.040081091622918e-05	9.505622e-03
1.042034216622918e-05	9.503162e-03
1.043987341622918e-05	9.500856e-03
1.045940466622918e-05	9.498682e-03
1.047893591622918e-05	9.496627e-03
1.049846716622918e-05	9.494679e-03
1.051799841622918e-05	9.492826e-03
1.053752966622918e-05	9.491060e-03
1.055706091622918e-05	9.489373e-03
1.057659216622918e-05	9.487760e-03
1.059612341622917e-05	9.486213e-03
1.061565466622917e-05	9.484729e-03
1.063518591622917e-05	9.483302e-03
1.065471716622917e-05	9.481929e-03
1.067424841622917e-05	9.480606e-03
1.069377966622917e-05	9.479329e-03
1.071331091622917e-05	9.478097e-03
1.073284216622917e-05	9.476906e-03
1.075237341622917e-05	9.475754e-03
1.077190466622917e-05	9.474638e-03
1.079143591622917e-05	9.473558e-03
1.081096716622917e-05	9.472510e-03
1.083049841622916e-05	9.471493e-03
1.085002966622916e-05	9.470506e-03
1.086956091622916e-05	9.469547e-03
1.088909216622916e-05	9.468616e-03
1.090862341622916e-05	9.467710e-03
1.092815466622916e-05	9.466828e-03
1.094768591622916e-05	9.465970e-03
1.096721716622916e-05	9.465134e-03
1.098674841622916e-05	9.464320e-03
1.100627966622916e-05	9.463526e-03
1.102581091622916e-05	9.462752e-03
1.104534216622916e-05	9.461997e-03
1.106487341622916e-05	9.461260e-03
1.108440466622915e-05	9.460540e-03
1.110393591622915e-05	9.459838e-03
1.112346716622915e-05	9.459152e-03
1.114299841622915e-05	9.458481e-03
1.116252966622915e-05	9.457826e-03
1.118206091622915e-05	9.457185e-03
1.120159216622915e-05	9.456558e-03
1.122112341622915e-05	9.455944e-03
1.124065466622915e-05	9.455345e-03
1.126018591622915e-05	9.454757e-03
1.127971716622915e-05	9.454181e-03
1.129924841622915e-05	9.453618e-03
1.131877966622914e-05	9.453067e-03
1.133831091622914e-05	9.452526e-03
1.135784216622914e-05	9.451996e-03
1.137737341622914e-05	9.451477e-03
1.139690466622914e-05	9.450967e-03
1.141643591622914e-05	9.450468e-03
1.143596716622914e-05	9.449978e-03
1.145549841622914e-05	9.449498e-03
1.147502966622914e-05	9.449027e-03
1.149456091622914e-05	9.448565e-03
1.151409216622914e-05	9.448111e-03
1.153362341622914e-05	9.447665e-03
1.155315466622914e-05	9.447227e-03
1.157268591622913e-05	9.446798e-03
1.159221716622913e-05	9.446376e-03
1.161174841622913e-05	9.445962e-03
1.163127966622913e-05	9.445555e-03
1.165081091622913e-05	9.445155e-03
1.167034216622913e-05	9.444762e-03
1.168987341622913e-05	9.444376e-03
1.170940466622913e-05	9.443996e-03
1.172893591622913e-05	9.443623e-03
1.174846716622913e-05	9.443256e-03
1.176799841622913e-05	9.442896e-03
1.178752966622913e-05	9.442541e-03
1.180706091622913e-05	9.442192e-03
1.182659216622912e-05	9.441849e-03
1.184612341622912e-05	9.441511e-03
1.186565466622912e-05	9.441179e-03
1.188518591622912e-05	9.440852e-03
1.190471716622912e-05	9.440531e-03
1.192424841622912e-05	9.440214e-03
1.194377966622912e-05	9.439902e-03
1.196331091622912e-05	9.439596e-03
1.198284216622912e-05	9.439294e-03
1.200237341622912e-05	9.438997e-03
1.202190466622912e-05	9.438705e-03
1.204143591622912e-05	9.438416e-03
1.206096716622911e-05	9.438133e-03
1.208049841622911e-05	9.437853e-03
1.210002966622911e-05	9.437578e-03
1.211956091622911e-05	9.437307e-03
1.213909216622911e-05	9.437040e-03
1.215862341622911e-05	9.436777e-03
1.217815466622911e-05	9.436518e-03
1.219768591622911e-05	9.436263e-03
1.221721716622911e-05	9.436010e-03
1.223674841622911e-05	9.435763e-03
