V1	V(n002)	I(D1)
Step Information: Temp=-25  (Step: 1/3)
1.430000000000000e+01	7.346727e-01	2.791220e-02
1.440000000000000e+01	7.349879e-01	2.811731e-02
1.450000000000000e+01	7.353008e-01	2.832243e-02
1.460000000000000e+01	7.356114e-01	2.852755e-02
1.470000000000000e+01	7.359198e-01	2.873268e-02
1.480000000000000e+01	7.362260e-01	2.893781e-02
1.490000000000000e+01	7.365301e-01	2.914294e-02
1.500000000000000e+01	7.368320e-01	2.934808e-02
1.510000000000000e+01	7.371319e-01	2.955323e-02
1.520000000000000e+01	7.374297e-01	2.975838e-02
1.530000000000000e+01	7.377254e-01	2.996353e-02
1.540000000000000e+01	7.380191e-01	3.016868e-02
1.550000000000000e+01	7.383109e-01	3.037385e-02
1.560000000000000e+01	7.386007e-01	3.057901e-02
1.570000000000000e+01	7.388885e-01	3.078418e-02
1.580000000000000e+01	7.391744e-01	3.098935e-02
1.590000000000000e+01	7.394585e-01	3.119453e-02
1.600000000000000e+01	7.397407e-01	3.139971e-02
1.610000000000000e+01	7.400210e-01	3.160489e-02
1.620000000000000e+01	7.402996e-01	3.181008e-02
1.630000000000000e+01	7.405764e-01	3.201528e-02
1.640000000000000e+01	7.408514e-01	3.222047e-02
1.650000000000000e+01	7.411247e-01	3.242567e-02
1.660000000000000e+01	7.413962e-01	3.263087e-02
1.670000000000000e+01	7.416661e-01	3.283608e-02
1.680000000000000e+01	7.419343e-01	3.304129e-02
1.690000000000000e+01	7.422008e-01	3.324650e-02
1.700000000000000e+01	7.424657e-01	3.345172e-02
1.710000000000000e+01	7.427289e-01	3.365694e-02
1.720000000000000e+01	7.429907e-01	3.386216e-02
1.730000000000000e+01	7.432507e-01	3.406738e-02
1.740000000000000e+01	7.435093e-01	3.427261e-02
1.750000000000000e+01	7.437663e-01	3.447785e-02
1.760000000000000e+01	7.440218e-01	3.468308e-02
1.770000000000000e+01	7.442757e-01	3.488832e-02
1.780000000000000e+01	7.445282e-01	3.509356e-02
1.790000000000000e+01	7.447792e-01	3.529881e-02
1.800000000000000e+01	7.450288e-01	3.550405e-02
1.810000000000000e+01	7.452769e-01	3.570931e-02
1.820000000000000e+01	7.455237e-01	3.591456e-02
1.830000000000000e+01	7.457690e-01	3.611982e-02
1.840000000000000e+01	7.460129e-01	3.632507e-02
1.850000000000000e+01	7.462555e-01	3.653034e-02
1.860000000000000e+01	7.464967e-01	3.673561e-02
1.870000000000000e+01	7.467365e-01	3.694087e-02
1.880000000000000e+01	7.469751e-01	3.714614e-02
1.890000000000000e+01	7.472123e-01	3.735141e-02
1.900000000000000e+01	7.474482e-01	3.755669e-02
1.910000000000000e+01	7.476828e-01	3.776197e-02
1.920000000000000e+01	7.479162e-01	3.796725e-02
1.930000000000000e+01	7.481483e-01	3.817254e-02
1.940000000000000e+01	7.483792e-01	3.837782e-02
1.950000000000000e+01	7.486088e-01	3.858311e-02
1.960000000000000e+01	7.488373e-01	3.878840e-02
1.970000000000000e+01	7.490645e-01	3.899369e-02
1.980000000000000e+01	7.492905e-01	3.919899e-02
1.990000000000000e+01	7.495154e-01	3.940429e-02
2.000000000000000e+01	7.497391e-01	3.960959e-02
2.010000000000000e+01	7.499616e-01	3.981489e-02
2.020000000000000e+01	7.501830e-01	4.002020e-02
2.030000000000000e+01	7.504033e-01	4.022551e-02
2.040000000000000e+01	7.506225e-01	4.043082e-02
2.050000000000000e+01	7.508405e-01	4.063613e-02
2.060000000000000e+01	7.510574e-01	4.084145e-02
2.070000000000000e+01	7.512733e-01	4.104676e-02
2.080000000000000e+01	7.514880e-01	4.125208e-02
2.090000000000000e+01	7.517018e-01	4.145740e-02
2.100000000000000e+01	7.519144e-01	4.166273e-02
2.110000000000000e+01	7.521260e-01	4.186805e-02
2.120000000000000e+01	7.523366e-01	4.207338e-02
2.130000000000000e+01	7.525462e-01	4.227871e-02
2.140000000000000e+01	7.527547e-01	4.248405e-02
2.150000000000000e+01	7.529623e-01	4.268938e-02
2.160000000000000e+01	7.531689e-01	4.289471e-02
2.170000000000000e+01	7.533745e-01	4.310005e-02
2.180000000000000e+01	7.535790e-01	4.330539e-02
2.190000000000000e+01	7.537826e-01	4.351074e-02
2.200000000000000e+01	7.539853e-01	4.371608e-02
2.210000000000000e+01	7.541870e-01	4.392143e-02
2.220000000000000e+01	7.543879e-01	4.412678e-02
2.230000000000000e+01	7.545877e-01	4.433212e-02
2.240000000000000e+01	7.547866e-01	4.453748e-02
2.250000000000000e+01	7.549846e-01	4.474283e-02
2.260000000000000e+01	7.551817e-01	4.494819e-02
2.270000000000000e+01	7.553779e-01	4.515354e-02
2.280000000000000e+01	7.555733e-01	4.535890e-02
2.290000000000000e+01	7.557678e-01	4.556426e-02
2.300000000000000e+01	7.559614e-01	4.576963e-02
2.310000000000000e+01	7.561541e-01	4.597499e-02
2.320000000000000e+01	7.563459e-01	4.618036e-02
2.330000000000000e+01	7.565369e-01	4.638573e-02
2.340000000000000e+01	7.567270e-01	4.659110e-02
2.350000000000000e+01	7.569164e-01	4.679647e-02
2.360000000000000e+01	7.571049e-01	4.700184e-02
2.370000000000000e+01	7.572926e-01	4.720722e-02
2.380000000000000e+01	7.574794e-01	4.741259e-02
2.390000000000000e+01	7.576655e-01	4.761797e-02
2.400000000000000e+01	7.578508e-01	4.782335e-02
2.410000000000000e+01	7.580352e-01	4.802873e-02
2.420000000000000e+01	7.582189e-01	4.823412e-02
2.430000000000000e+01	7.584018e-01	4.843950e-02
2.440000000000000e+01	7.585840e-01	4.864489e-02
2.450000000000000e+01	7.587653e-01	4.885028e-02
2.460000000000000e+01	7.589459e-01	4.905567e-02
2.470000000000000e+01	7.591258e-01	4.926106e-02
2.480000000000000e+01	7.593049e-01	4.946645e-02
2.490000000000000e+01	7.594832e-01	4.967184e-02
2.500000000000000e+01	7.596609e-01	4.987724e-02
Step Information: Temp=25  (Step: 2/3)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-01	9.969383e-02	6.299895e-07
2.000000000000000e-01	1.976712e-01	4.794486e-06
3.000000000000000e-01	2.867239e-01	2.731735e-05
4.000000000000000e-01	3.525369e-01	9.779289e-05
5.000000000000000e-01	3.940870e-01	2.185108e-04
6.000000000000001e-01	4.210791e-01	3.683125e-04
7.000000000000001e-01	4.403196e-01	5.343442e-04
8.000000000000000e-01	4.551780e-01	7.122161e-04
9.000000000000000e-01	4.668727e-01	8.929492e-04
1.000000000000000e+00	4.766002e-01	1.077754e-03
1.100000000000000e+00	4.849276e-01	1.266054e-03
1.200000000000000e+00	4.921827e-01	1.456732e-03
1.300000000000000e+00	4.986001e-01	1.649190e-03
1.400000000000000e+00	5.043480e-01	1.843061e-03
1.500000000000000e+00	5.095496e-01	2.038078e-03
1.600000000000000e+00	5.142974e-01	2.234042e-03
1.700000000000000e+00	5.186628e-01	2.430802e-03
1.800000000000000e+00	5.227015e-01	2.628239e-03
1.900000000000000e+00	5.264583e-01	2.826260e-03
2.000000000000000e+00	5.299692e-01	3.024789e-03
2.100000000000000e+00	5.332640e-01	3.223765e-03
2.200000000000000e+00	5.363675e-01	3.423136e-03
2.300000000000000e+00	5.393002e-01	3.622859e-03
2.400000000000000e+00	5.420797e-01	3.822898e-03
2.500000000000000e+00	5.447212e-01	4.023222e-03
2.600000000000000e+00	5.472375e-01	4.223804e-03
2.700000000000000e+00	5.496396e-01	4.424620e-03
2.800000000000000e+00	5.519376e-01	4.625652e-03
2.900000000000000e+00	5.541400e-01	4.826881e-03
3.000000000000000e+00	5.562541e-01	5.028291e-03
3.100000000000000e+00	5.582870e-01	5.229868e-03
3.200000000000000e+00	5.602444e-01	5.431602e-03
3.300000000000000e+00	5.621318e-01	5.633479e-03
3.400000000000000e+00	5.639539e-01	5.835490e-03
3.500000000000000e+00	5.657150e-01	6.037627e-03
3.600000000000000e+00	5.674192e-01	6.239882e-03
3.700000000000000e+00	5.690698e-01	6.442246e-03
3.800000000000000e+00	5.706702e-01	6.644715e-03
3.900000000000000e+00	5.722233e-01	6.847280e-03
4.000000000000000e+00	5.737318e-01	7.049937e-03
4.100000000000001e+00	5.751981e-01	7.252681e-03
4.200000000000000e+00	5.766246e-01	7.455507e-03
4.300000000000000e+00	5.780133e-01	7.658411e-03
4.400000000000000e+00	5.793662e-01	7.861388e-03
4.500000000000000e+00	5.806851e-01	8.064436e-03
4.600000000000001e+00	5.819715e-01	8.267550e-03
4.700000000000000e+00	5.832272e-01	8.470727e-03
4.800000000000001e+00	5.844534e-01	8.673966e-03
4.900000000000000e+00	5.856516e-01	8.877262e-03
5.000000000000000e+00	5.868229e-01	9.080612e-03
5.100000000000001e+00	5.879686e-01	9.284017e-03
5.200000000000000e+00	5.890898e-01	9.487471e-03
5.300000000000001e+00	5.901874e-01	9.690974e-03
5.400000000000000e+00	5.912624e-01	9.894523e-03
5.500000000000000e+00	5.923158e-01	1.009812e-02
5.600000000000001e+00	5.933484e-01	1.030175e-02
5.700000000000000e+00	5.943609e-01	1.050543e-02
5.800000000000001e+00	5.953543e-01	1.070915e-02
5.900000000000000e+00	5.963290e-01	1.091290e-02
6.000000000000000e+00	5.972859e-01	1.111670e-02
6.100000000000001e+00	5.982257e-01	1.132052e-02
6.200000000000000e+00	5.991487e-01	1.152439e-02
6.300000000000001e+00	6.000558e-01	1.172828e-02
